session_id,user_id,start_time,end_time,device_type
S000001,U00001,2025-03-12 15:22:00,2025-03-12 15:53:00,Tablet
S000002,U00002,2025-03-24 10:42:00,2025-03-24 12:50:00,Desktop
S000003,U00002,2025-09-02 09:22:00,2025-09-02 11:49:00,Mobile
S000004,U00002,2025-02-27 14:36:00,2025-02-27 15:38:00,Mobile
S000005,U00002,2025-09-02 06:38:00,2025-09-02 07:51:00,Desktop
S000006,U00002,2025-03-16 14:44:00,2025-03-16 16:08:00,Mobile
S000007,U00003,2023-08-23 11:55:00,2023-08-23 12:36:00,Tablet
S000008,U00003,2025-06-20 18:04:00,2025-06-20 18:45:00,Tablet
S000009,U00003,2025-05-26 06:05:00,2025-05-26 08:25:00,Desktop
S000010,U00004,2024-06-17 20:21:00,2024-06-17 21:06:00,Mobile
S000011,U00004,2024-02-28 16:49:00,2024-02-28 19:19:00,Tablet
S000012,U00004,2023-07-10 07:09:00,2023-07-10 07:54:00,Tablet
S000013,U00004,2023-06-04 08:17:00,2023-06-04 10:15:00,Tablet
S000014,U00005,2025-09-02 20:26:00,2025-09-02 21:40:00,Desktop
S000015,U00005,2025-09-05 09:22:00,2025-09-05 11:17:00,Desktop
S000016,U00005,2025-08-07 21:33:00,2025-08-07 22:56:00,Desktop
S000017,U00005,2025-07-30 18:38:00,2025-07-30 18:57:00,Desktop
S000018,U00006,2025-01-28 12:49:00,2025-01-28 13:29:00,Mobile
S000019,U00006,2025-01-22 16:07:00,2025-01-22 16:13:00,Mobile
S000020,U00007,2024-04-15 11:08:00,2024-04-15 12:50:00,Tablet
S000021,U00007,2025-01-20 13:32:00,2025-01-20 16:00:00,Tablet
S000022,U00007,2025-05-05 17:04:00,2025-05-05 18:50:00,Tablet
S000023,U00007,2023-03-15 19:01:00,2023-03-15 21:03:00,Desktop
S000024,U00007,2025-07-01 16:36:00,2025-07-01 18:30:00,Tablet
S000025,U00007,2024-03-20 19:18:00,2024-03-20 19:52:00,Mobile
S000026,U00008,2024-07-24 11:51:00,2024-07-24 13:53:00,Tablet
S000027,U00009,2023-04-28 19:54:00,2023-04-28 20:26:00,Desktop
S000028,U00009,2024-04-18 18:33:00,2024-04-18 18:58:00,Mobile
S000029,U00009,2025-07-07 15:47:00,2025-07-07 17:18:00,Desktop
S000030,U00010,2025-03-30 08:32:00,2025-03-30 09:06:00,Tablet
S000031,U00010,2025-09-21 12:57:00,2025-09-21 14:31:00,Mobile
S000032,U00010,2025-03-19 13:06:00,2025-03-19 13:48:00,Mobile
S000033,U00011,2024-10-08 10:48:00,2024-10-08 11:12:00,Desktop
S000034,U00011,2025-08-11 21:29:00,2025-08-11 23:58:00,Tablet
S000035,U00012,2025-02-28 16:09:00,2025-02-28 18:06:00,Desktop
S000036,U00012,2025-07-28 20:40:00,2025-07-28 22:02:00,Mobile
S000037,U00012,2024-05-31 17:32:00,2024-05-31 17:55:00,Mobile
