user_id,signup_date,channel,region
U00001,2024-10-16,Organic,North America
U00002,2025-01-29,Referral,Europe
U00003,2023-08-17,Paid Search,Africa
U00004,2023-04-15,Affiliate,Africa
U00005,2025-07-02,Email,North America
U00006,2024-08-27,Social,North America
U00007,2023-01-31,Organic,Europe
U00008,2023-08-27,Email,Middle East
U00009,2023-01-28,Email,Europe
U00010,2025-01-03,Affiliate,Africa
U00011,2024-07-12,Social,Europe
U00012,2024-04-04,Email,Latin America
U00013,2025-04-08,Organic,Europe
U00014,2024-12-15,Social,Latin America
U00015,2023-10-12,Paid Search,Europe
U00016,2025-09-07,Referral,North America
U00017,2023-04-05,Social,North America
U00018,2024-01-03,Referral,Middle East
U00019,2023-09-28,Organic,Africa
U00020,2024-04-15,Email,North America
U00021,2025-09-23,Social,North America
U00022,2024-07-19,Referral,Africa
U00023,2024-09-25,Referral,Middle East
U00024,2023-07-16,Affiliate,North America
U00025,2023-02-16,Affiliate,Europe
U00026,2025-03-02,Referral,North America
U00027,2025-05-25,Paid Search,North America
U00028,2024-01-25,Referral,Asia Pacific
U00029,2024-10-12,Referral,Europe
U00030,2024-01-15,Referral,Europe
U00031,2024-11-17,Referral,Africa
U00032,2025-08-17,Affiliate,Africa
U00033,2023-03-15,Email,Africa
U00034,2023-06-25,Email,Africa
U00035,2023-09-08,Paid Search,Asia Pacific
U00036,2024-01-24,Referral,Africa
U00037,2024-12-05,Email,Europe
U00038,2024-12-02,Referral,North America
U00039,2023-08-23,Organic,Latin America
U00040,2024-02-15,Referral,North America
U00041,2023-08-05,Email,Africa
U00042,2023-11-19,Paid Search,Africa
U00043,2024-05-26,Social,Africa
U00044,2024-04-14,Paid Search,Latin America
U00045,2023-05-23,Paid Search,Africa
U00046,2024-07-28,Email,Latin America
U00047,2025-02-03,Email,Asia Pacific
U00048,2025-07-08,Email,Asia Pacific
U00049,2024-01-06,Paid Search,Europe
U00050,2024-06-05,Social,North America
U00051,2025-02-12,Organic,North America
U00052,2023-06-06,Affiliate,Europe
U00053,2025-03-22,Affiliate,Asia Pacific
U00054,2024-09-02,Organic,Asia Pacific
U00055,2024-01-26,Email,Asia Pacific
U00056,2024-06-25,Referral,Middle East
U00057,2025-05-31,Organic,Africa
U00058,2025-01-08,Organic,Africa
U00059,2025-06-25,Email,Latin America
U00060,2025-02-26,Affiliate,Latin America
U00061,2023-04-25,Referral,Asia Pacific
U00062,2023-06-11,Social,North America
U00063,2025-09-03,Affiliate,Africa
U00064,2023-09-27,Email,Europe
U00065,2024-06-03,Organic,Africa
U00066,2023-11-02,Affiliate,Middle East
U00067,2024-09-15,Paid Search,Europe
U00068,2024-01-18,Paid Search,Middle East
U00069,2025-09-03,Email,North America
U00070,2024-09-05,Referral,Asia Pacific
U00071,2023-01-20,Organic,Latin America
U00072,2025-06-18,Referral,Europe
U00073,2023-03-01,Paid Search,Middle East
U00074,2025-08-27,Organic,North America
U00075,2025-01-19,Social,North America
U00076,2025-09-28,Email,Europe
U00077,2023-05-12,Affiliate,Asia Pacific
U00078,2025-08-27,Email,Europe
U00079,2023-09-29,Email,Middle East
U00080,2024-03-09,Paid Search,Middle East
U00081,2025-02-12,Affiliate,Africa
U00082,2023-07-25,Affiliate,Latin America
U00083,2024-02-13,Affiliate,Africa
U00084,2024-01-18,Social,Middle East
U00085,2024-04-07,Organic,Europe
U00086,2023-08-19,Organic,Latin America
U00087,2023-01-22,Email,Middle East
U00088,2023-08-24,Email,Europe
U00089,2023-01-08,Organic,Africa
U00090,2024-10-08,Organic,Europe
U00091,2023-03-11,Organic,Latin America
U00092,2023-03-14,Email,Europe
U00093,2023-10-13,Affiliate,Asia Pacific
U00094,2023-08-08,Email,Europe
U00095,2025-01-10,Email,Middle East
U00096,2024-04-29,Paid Search,Asia Pacific
U00097,2025-04-06,Social,Europe
U00098,2023-04-07,Organic,Africa
U00099,2024-03-17,Referral,Asia Pacific
U00100,2024-02-25,Social,Africa
U00101,2023-02-25,Affiliate,Africa
U00102,2024-10-23,Organic,North America
U00103,2024-02-17,Affiliate,Latin America
U00104,2025-03-30,Organic,Europe
U00105,2023-07-16,Paid Search,Middle East
U00106,2024-04-04,Paid Search,Asia Pacific
U00107,2023-07-07,Referral,Asia Pacific
U00108,2023-09-13,Organic,Asia Pacific
U00109,2025-04-07,Email,North America
U00110,2023-02-21,Affiliate,Middle East
U00111,2025-05-06,Organic,North America
U00112,2025-08-06,Paid Search,Europe
U00113,2024-02-21,Social,Asia Pacific
U00114,2023-08-07,Social,North America
U00115,2023-06-18,Social,North America
U00116,2024-02-04,Referral,Asia Pacific
U00117,2023-10-20,Social,Africa
U00118,2025-09-07,Affiliate,Middle East
U00119,2024-11-08,Affiliate,Asia Pacific
U00120,2023-06-08,Paid Search,Latin America
U00121,2023-08-11,Organic,Middle East
U00122,2025-01-23,Email,North America
U00123,2025-02-04,Referral,North America
U00124,2023-02-21,Email,Asia Pacific
U00125,2024-05-29,Email,Europe
